Local time,Open,High,Low,Close,Volume
03.05.2018 18:00:00.000 GMT+0100,1.35817,1.35823,1.35666,1.35691,6858.8799
03.05.2018 19:00:00.000 GMT+0100,1.35694,1.35853,1.35675,1.35697,6867.0498
03.05.2018 20:00:00.000 GMT+0100,1.35698,1.35818,1.35683,1.35684,6969.1099
03.05.2018 21:00:00.000 GMT+0100,1.35683,1.35780,1.35678,1.35729,3402.6699
03.05.2018 22:00:00.000 GMT+0100,1.35713,1.35775,1.35701,1.35740,1822.48
03.05.2018 23:00:00.000 GMT+0100,1.35740,1.35743,1.35699,1.35704,1229.4399
04.05.2018 00:00:00.000 GMT+0100,1.35704,1.35719,1.35686,1.35713,1185.3199
04.05.2018 01:00:00.000 GMT+0100,1.35713,1.35786,1.35692,1.35759,1921.64
04.05.2018 02:00:00.000 GMT+0100,1.35759,1.35854,1.35734,1.35830,2742.3601
04.05.2018 03:00:00.000 GMT+0100,1.35831,1.35856,1.35758,1.35775,1810.74
04.05.2018 04:00:00.000 GMT+0100,1.35773,1.35836,1.35771,1.35802,1908.64
04.05.2018 05:00:00.000 GMT+0100,1.35802,1.35837,1.35773,1.35773,1611.97
04.05.2018 06:00:00.000 GMT+0100,1.35772,1.35815,1.35744,1.35757,1920.04
04.05.2018 07:00:00.000 GMT+0100,1.35755,1.35756,1.35539,1.35597,6827.9399
04.05.2018 08:00:00.000 GMT+0100,1.35597,1.35707,1.35544,1.35643,7914.8101
04.05.2018 09:00:00.000 GMT+0100,1.35643,1.35797,1.35435,1.35461,6687.0498
04.05.2018 10:00:00.000 GMT+0100,1.35459,1.35580,1.35421,1.35543,6205.3999
04.05.2018 11:00:00.000 GMT+0100,1.35545,1.35718,1.35472,1.35673,4315.9902
04.05.2018 12:00:00.000 GMT+0100,1.35673,1.35705,1.35562,1.35672,5989.46
04.05.2018 13:00:00.000 GMT+0100,1.35672,1.35825,1.35500,1.35656,14496.5703
04.05.2018 14:00:00.000 GMT+0100,1.35656,1.35670,1.34861,1.35061,18095.6699
04.05.2018 15:00:00.000 GMT+0100,1.35063,1.35275,1.35022,1.35160,10095.2598
04.05.2018 16:00:00.000 GMT+0100,1.35160,1.35383,1.35130,1.35338,9356.3398
04.05.2018 17:00:00.000 GMT+0100,1.35337,1.35483,1.35258,1.35456,8348.8203
04.05.2018 18:00:00.000 GMT+0100,1.35456,1.35522,1.35381,1.35451,4858.4702
04.05.2018 19:00:00.000 GMT+0100,1.35449,1.35496,1.35402,1.35435,5909.4199
04.05.2018 20:00:00.000 GMT+0100,1.35436,1.35442,1.35343,1.35349,3489.3701
04.05.2018 21:00:00.000 GMT+0100,1.35350,1.35376,1.35232,1.35253,2800.6699
04.05.2018 22:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
04.05.2018 23:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 00:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 01:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 02:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 03:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 04:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 05:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 06:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 07:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 08:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 09:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 10:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 11:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 12:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 13:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 14:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 15:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 16:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 17:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 18:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 19:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 20:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 21:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 22:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 23:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 00:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 01:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 02:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 03:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 04:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 05:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 06:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 07:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 08:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 09:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 10:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 11:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 12:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 13:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 14:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 15:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 16:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 17:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 18:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 19:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 20:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 21:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 22:00:00.000 GMT+0100,1.35327,1.35355,1.35298,1.35338,537.04
06.05.2018 23:00:00.000 GMT+0100,1.35339,1.35381,1.35301,1.35366,1181.23
07.05.2018 00:00:00.000 GMT+0100,1.35364,1.35390,1.35310,1.35311,1497.3199
07.05.2018 01:00:00.000 GMT+0100,1.35312,1.35464,1.35293,1.35464,2586.6001
07.05.2018 02:00:00.000 GMT+0100,1.35467,1.35535,1.35433,1.35487,2583.03
07.05.2018 03:00:00.000 GMT+0100,1.35488,1.35583,1.35481,1.35567,2096.22
07.05.2018 04:00:00.000 GMT+0100,1.35569,1.35644,1.35537,1.35540,2062.6399
07.05.2018 05:00:00.000 GMT+0100,1.35540,1.35545,1.35471,1.35496,1831.03
07.05.2018 06:00:00.000 GMT+0100,1.35496,1.35509,1.35352,1.35494,2520.5601
07.05.2018 07:00:00.000 GMT+0100,1.35493,1.35493,1.35354,1.35425,5026.6201
07.05.2018 08:00:00.000 GMT+0100,1.35425,1.35553,1.35282,1.35507,6310.9702
07.05.2018 09:00:00.000 GMT+0100,1.35508,1.35549,1.35339,1.35363,5321.1699
07.05.2018 10:00:00.000 GMT+0100,1.35363,1.35392,1.35267,1.35292,4949.3398
07.05.2018 11:00:00.000 GMT+0100,1.35291,1.35374,1.35257,1.35289,5407.73
07.05.2018 12:00:00.000 GMT+0100,1.35288,1.35354,1.35169,1.35189,7846.3999
07.05.2018 13:00:00.000 GMT+0100,1.35191,1.35541,1.35151,1.35538,7357.29
07.05.2018 14:00:00.000 GMT+0100,1.35539,1.35551,1.35355,1.35375,8788.1504
07.05.2018 15:00:00.000 GMT+0100,1.35376,1.35702,1.35357,1.35671,9653.0996
07.05.2018 16:00:00.000 GMT+0100,1.35670,1.35751,1.35590,1.35654,8851.8604
07.05.2018 17:00:00.000 GMT+0100,1.35652,1.35703,1.35611,1.35634,6128.29
07.05.2018 18:00:00.000 GMT+0100,1.35632,1.35652,1.35546,1.35650,5913.5498
07.05.2018 19:00:00.000 GMT+0100,1.35650,1.35666,1.35581,1.35613,3672.8701
07.05.2018 20:00:00.000 GMT+0100,1.35610,1.35614,1.35543,1.35598,4473.52
07.05.2018 21:00:00.000 GMT+0100,1.35595,1.35601,1.35544,1.35558,3167.6899
07.05.2018 22:00:00.000 GMT+0100,1.35560,1.35602,1.35549,1.35586,1169.7
07.05.2018 23:00:00.000 GMT+0100,1.35587,1.35613,1.35567,1.35589,1030.47
